grade,token_count,row,prompt_char_count,real_prompt_tokens,updated_token_ratio
1.0,148171,20,702607,148171,0.22770686683996846
0.19175729822552948,143562,70,672697,143562,0.22770686683996846
0.07792207792207792,147818,33,700681,147818,0.22770686683996846
0.03516769781830023,148457,0,704124,148457,0.22770686683996846
0.967124162144909,144834,48,682583,144834,0.22770686683996846
0.9797037849698299,158402,1,744605,158402,0.22770686683996846
0.007183908045977011,141920,7,663528,141920,0.22770686683996846
0.08446918794394317,158437,14,750064,158437,0.22770686683996846
0.09604621772883191,163919,50,766740,163919,0.21376328542264514
0.057813394390383514,164912,6,772143,164912,0.21376328542264514
0.017430845017051912,185928,10,880860,185928,0.21376328542264514
0.034346103038309116,140008,45,664473,140008,0.21376328542264514
0.05552725420275089,141916,57,666248,141916,0.21376328542264514
0.09013833110218653,136835,71,648366,136835,0.21376328542264514
0.9943906170321265,186658,55,919934,186658,0.21376328542264514
0.8659590224635892,211478,12,1002177,211478,0.21376328542264514
0.0383250532292406,141456,56,661992,141456,0.21376328542264514
0.04951312097705892,155779,74,733880,155779,0.21376328542264514
0.030315117670522536,197276,31,923357,197276,0.21252837917014666
0.05958023019634394,169746,29,805120,169746,0.21252837917014666
0.030167835139154452,180983,46,856318,180983,0.21252837917014666
0.054883552987903955,204786,30,968159,204786,0.21252837917014666
0.08076923076923077,142703,87,673594,142703,0.21252837917014666
0.055059903135355595,185339,68,874958,185339,0.21252837917014666
0.12512980269989615,178147,37,833829,178147,0.21252837917014666
0.99582530507386,188699,9,887897,188699,0.21252837917014666
0.09789851358277807,212102,5,996033,212102,0.21252837917014666
0.14293915040183697,225126,16,1061230,225126,0.21252837917014666
1.0,199798,17,950153,199798,0.21231625336892207
0.04806022003474233,220548,18,1042149,220548,0.21231625336892207
0.11179228272628922,134941,78,630630,134941,0.21231625336892207
1.0,16510,102,77461,16510,0.21231625336892207
0.16963696369636963,182351,76,856564,182351,0.21231625336892207
0.9736842105263158,202327,22,961095,202327,0.21231625336892207
0.6117573090223201,207038,26,971429,207038,0.21231625336892207
0.433261736729058,171642,27,808300,171642,0.21231625336892207
0.06652806652806653,143202,88,684263,143202,0.21231625336892207
0.9097414213693283,16214,103,81071,16214,0.21231625336892207
0.03843255463451394,17947,100,84842,17947,0.21194811980600683
0.03939056112969157,185603,19,875146,185603,0.21194811980600683
0.02136244956088298,176330,34,836018,176330,0.21194811980600683
0.9564628919467629,149057,94,711228,149057,0.21194811980600683
0.05355129650507328,30385,101,141221,30385,0.21194811980600683
0.05945252352437981,209261,62,983925,209261,0.21194811980600683
0.9724689165186501,233583,4,1102555,233583,0.21194811980600683
0.11143695014662756,211570,39,996726,211570,0.21194811980600683
0.04956006464356258,208633,73,962736,208633,0.21194811980600683
1.0,137389,32,646549,137389,0.21194811980600683
0.05600164710726786,143226,64,672328,143226,0.21209389883812782
0.08096564531104922,227022,41,1061234,227022,0.21209389883812782
0.9718560741004632,180111,13,877890,180111,0.21209389883812782
0.1182061182061182,235977,83,1121093,235977,0.21209389883812782
0.9174011067841771,153466,82,719678,153466,0.21209389883812782
0.09775967413441955,241478,98,1139699,241478,0.21209389883812782
1.0,207501,81,973039,207501,0.21209389883812782
0.0843806104129264,240142,43,1123742,240142,0.21209389883812782
0.6696306429548564,161298,89,763351,161298,0.21209389883812782
0.07607934655775962,200181,99,952821,200181,0.21209389883812782
0.040626529613313755,194553,75,924670,194553,0.211968964955502
0.018945918015845678,228373,91,1087019,228373,0.211968964955502
0.03248259860788863,222402,92,1054443,222402,0.211968964955502
0.07269021739130435,196171,93,927536,196171,0.211968964955502
0.4271356783919598,245104,90,1155723,245104,0.211968964955502
0.034482758620689655,221167,95,1046997,221167,0.211968964955502
0.14334717458024915,172661,96,811781,172661,0.211968964955502
0.02631578947368421,17923,109,85124,17923,0.211968964955502
0.024156601416076635,24178,131,107863,24178,0.211968964955502
0.08775981524249422,31562,128,148677,31562,0.211968964955502
0.08757637474541752,19682,117,96203,19682,0.211968964955502
1.0,25169,129,117084,25169,0.211968964955502
1.0,24483,118,118920,24483,0.211968964955502
0.11924213453850165,22849,123,107751,22849,0.211968964955502
1.0,29977,105,139036,29977,0.211968964955502
0.09465478841870824,193042,79,913204,193042,0.21234420129149725
1.0,22006,111,104652,22006,0.21234420129149725
0.04203821656050955,25511,112,117279,25511,0.21234420129149725
1.0,227424,77,1067338,227424,0.21234420129149725
1.0,28283,108,135535,28283,0.21234420129149725
0.06976744186046512,17721,130,85001,17721,0.21234420129149725
0.04594330400782014,22500,104,108152,22500,0.21234420129149725
0.8622244488977956,228004,85,1072419,228004,0.21234420129149725
1.0,23496,121,106019,23496,0.21234420129149725
1.0,19414,135,89432,19414,0.21234420129149725
0.014103129131776113,26047,115,122517,26047,0.2126712510578522
0.05621401964104301,32750,113,151163,32750,0.2126712510578522
1.0,19037,132,86581,19037,0.2126712510578522
0.19066147859922178,27561,136,127480,27561,0.2126712510578522
0.2572678157962439,24718,127,118598,24718,0.2126712510578522
0.031125131440588854,28830,119,137795,28830,0.2126712510578522
1.0,27607,143,128212,27607,0.2126712510578522
0.9221902017291066,210876,28,996549,210876,0.2126712510578522
1.0,29508,125,140014,29508,0.2126712510578522
0.0546984572230014,31295,116,150731,31295,0.2126712510578522
0.03838771593090211,179358,84,853793,179358,0.21263892015700656
0.03210272873194221,193086,52,915237,193086,0.21263892015700656
0.05543556515478762,24091,126,110839,24091,0.21263892015700656
0.9986179664363277,16570,147,79390,16570,0.21263892015700656
0.04714640198511166,17770,124,89283,17770,0.21263892015700656
0.07700917841952093,196572,15,938617,196572,0.21263892015700656
0.05660778889125346,215397,86,1007584,215397,0.21263892015700656
1.0,20704,107,97342,20704,0.21263892015700656
1.0,18101,134,86772,18101,0.21263892015700656
0.15022368730868849,21149,110,103337,21149,0.21263892015700656
1.0,22597,145,109313,22597,0.21177782670423645
1.0,18188,164,84298,18188,0.21177782670423645
1.0,26858,122,125080,26858,0.21177782670423645
0.9774839909109688,27433,120,131484,27433,0.21177782670423645
0.08089260808926081,24477,163,111917,24477,0.21177782670423645
0.9693593314763231,22965,148,107180,22965,0.21177782670423645
0.3648068669527897,178146,35,832975,178146,0.21177782670423645
1.0,29981,170,139411,29981,0.21177782670423645
0.6383928571428571,26182,168,119330,26182,0.21177782670423645
1.0,16400,162,73412,16400,0.21177782670423645
0.03724696356275304,31635,165,152171,31635,0.21245659911711198
1.0,22114,167,106865,22114,0.21245659911711198
0.2271276595744681,28743,158,140615,28743,0.21245659911711198
0.11799787007454739,223831,42,1050598,223831,0.21245659911711198
1.0,20589,159,92954,20589,0.21245659911711198
0.04141345937429665,30734,137,148777,30734,0.21245659911711198
1.0,21503,139,103797,21503,0.21245659911711198
0.0283363802559415,28818,150,134009,28818,0.21245659911711198
